semantic,image_name
aoMap,i_wpn_t7_zmb_zod_rocket_shield_gauge_o
thermalHeatmap,$gray_32_one_channel
normalMap,i_wpn_t7_zmb_zod_rocket_shield_gauge_n
glossMap,i_wpn_t7_zmb_zod_rocket_shield_gauge_g
camoMaskMap,$white_reveal
detailNormal2,$identitynormalmap
detailNormal3,$identitynormalmap
detailNormal1,$identitynormalmap
detailNormal4,$identitynormalmap
colorMap,i_wpn_t7_zmb_zod_rocket_shield_gauge_c
detailNormalMask,$black_multimask
specColorMap,i_wpn_t7_zmb_zod_rocket_shield_gauge_s
