Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
#Zappers
weap_plasmablast_fire_plr,,,IW7zapper\zapper\weap_plasmablast_fire_plr.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,,,,,,,,8,,,,-150,150,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fire
weap_plasmablast_fire_global,,,IW7zapper\zapper\weap_plasmablast_fire_global.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,0,1000,1000,,,,,8,,,,-150,150,,,,,,3d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_plasmablast_fire_global,,,IW7zapper\zapper\weap_plasmablast_fire_global.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,0,1000,1000,,,,,8,,,,-150,150,,,,,,3d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Reload
zapper_reload_plr_mag_in,,,IW7zapper\zapper\zapper_reload_plr_mag_in.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,90,90,,,,,,,,8,,,,-150,150,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zapper_reload_plr_mag_out,,,IW7zapper\zapper\zapper_reload_plr_mag_out.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,90,90,,,,,,,,8,,,,-150,150,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Last shot
weap_vr_sup_plr,,,IW7zapper\zapper\weap_vr_sup_plr.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,,,,,,,,8,,,,-150,150,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_vr_sup_global,,,IW7zapper\zapper\weap_vr_sup_global.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,0,1000,1000,,,,,8,,,,-150,150,,,,,,3d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#raise
weap_gauss_charge_plr,,,IW7zapper\zapper\weap_gauss_charge_plr.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,70,70,,,,,,,,8,,,,-150,150,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_gauss_charge_global,,,IW7zapper\zapper\weap_gauss_charge_global.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,70,70,0,1000,1000,,,,,8,,,,-150,150,,,,,,3d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zapper_idle_buzz,,,IW7zapper\zapper\zapper_idle_buzz.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,60,60,,,,,,,,8,,,,-150,150,,,,,,2d,,,LOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
