Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
#CNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_cng_fire_plr,,loaded,madgaz\cng\wpn_cng_fire.wav,,,grp_wpn,,,,,bus_fx,grp_weapon,snp_wpn_1p_shot,,,,80,80,0,1000,1000,defaultmin,default,defaultmin,default,5,oldest,,,1,1,,,,,,2d,wpn_all,,nonlooping,,,,,,,,no,yes,,,,,,,,,,,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_cng_fire_npc,,loaded,madgaz\cng\wpn_cng_fire.wav,,,grp_wpn_3p,,,,,bus_fx,grp_weapon_3p,snp_wpn_3p,,,,80,80,0,1000,1000,defaultmin,default,defaultmin,default,5,oldest,,,1,1,,,,,,3d,wpn_all,,nonlooping,,,,,,,,no,yes,,,,,,,,,,,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_cng_charge_loop,,loaded,madgaz\cng\wpn_cng_charge_loop.wav,,,grp_wpn,,,,,bus_fx,grp_weapon,snp_wpn_1p_shot,,,,80,80,0,1000,1000,defaultmin,default,defaultmin,default,5,oldest,,,1,1,,,,,,2d,wpn_all,,looping,,,,,,,,no,yes,,,,,,,,,,,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_cng_charge_start,,loaded,madgaz\cng\wpn_cng_charge_start_00.wav,,,grp_wpn,,,,,bus_fx,grp_weapon,snp_wpn_1p_shot,,,,80,80,0,1000,1000,defaultmin,default,defaultmin,default,5,oldest,,,1,1,,,,,,2d,wpn_all,,nonlooping,,,,,,,,no,yes,,,,,,,,,,,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_cng_charge_start,,loaded,madgaz\cng\wpn_cng_charge_start_01.wav,,,grp_wpn,,,,,bus_fx,grp_weapon,snp_wpn_1p_shot,,,,80,80,0,1000,1000,defaultmin,default,defaultmin,default,5,oldest,,,1,1,,,,,,2d,wpn_all,,nonlooping,,,,,,,,no,yes,,,,,,,,,,,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_cng_charge_end,,loaded,madgaz\cng\wpn_cng_charge_end.wav,,,grp_wpn,,,,,bus_fx,grp_weapon,snp_wpn_1p_shot,,,,80,80,0,1000,1000,defaultmin,default,defaultmin,default,5,oldest,,,1,1,,,,,,2d,wpn_all,,nonlooping,,,,,,,,no,yes,,,,,,,,,,,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_cng_mag_out,,loaded,madgaz\cng\fly_cng_mag_out.wav,,,grp_wpn,,,,,bus_fx,grp_weapon,snp_wpn_1p_shot,,,,80,80,0,1000,1000,defaultmin,default,defaultmin,default,5,oldest,,,1,1,,,,,,2d,wpn_all,,nonlooping,,,,,,,,no,yes,,,,,,,,,,,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_cng_mag_in,,loaded,madgaz\cng\fly_cng_mag_in.wav,,,grp_wpn,,,,,bus_fx,grp_weapon,snp_wpn_1p_shot,,,,80,80,0,1000,1000,defaultmin,default,defaultmin,default,5,oldest,,,1,1,,,,,,2d,wpn_all,,nonlooping,,,,,,,,no,yes,,,,,,,,,,,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_cng_rock_in,,loaded,madgaz\cng\fly_cng_rock_in.wav,,,grp_wpn,,,,,bus_fx,grp_weapon,snp_wpn_1p_shot,,,,80,80,0,1000,1000,defaultmin,default,defaultmin,default,5,oldest,,,1,1,,,,,,2d,wpn_all,,nonlooping,,,,,,,,no,yes,,,,,,,,,,,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_cng_rock_gears,,loaded,madgaz\cng\fly_cng_rock_in.wav,,,grp_wpn,,,,,bus_fx,grp_weapon,snp_wpn_1p_shot,,,,80,80,0,1000,1000,defaultmin,default,defaultmin,default,5,oldest,,,1,1,,,,,,2d,wpn_all,,nonlooping,,,,,,,,no,yes,,,,,,,,,,,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_cng_electric,,loaded,madgaz\cng\evt_cng_electric_00.wav,,,amb_ambience_3d_mod,,,,,bus_fx,grp_scripted_moment,snp_scripted_moment,,,,100,100,200,700,701,defaultmin,default,defaultmin,default,5,reject,,,1,1,,,,,,3d,default,,nonlooping,,,,,,,,no,yes,,,,,,,,,,,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_cng_electric,,loaded,madgaz\cng\evt_cng_electric_01.wav,,,amb_ambience_3d_mod,,,,,bus_fx,grp_scripted_moment,snp_scripted_moment,,,,100,100,200,700,701,defaultmin,default,defaultmin,default,5,reject,,,1,1,,,,,,3d,default,,nonlooping,,,,,,,,no,yes,,,,,,,,,,,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_cng_ignite,,loaded,madgaz\cng\evt_cng_ignite.wav,,,amb_ambience_3d_mod,,,,,bus_fx,grp_scripted_moment,snp_scripted_moment,,,,100,100,500,700,701,defaultmin,default,defaultmin,default,5,reject,,,1,1,,,,,,3d,default,,nonlooping,,,,,,,,no,yes,,,,,,,,,,,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_cng_stormed,,loaded,madgaz\cng\evt_cng_stormed.wav,,,amb_ambience_3d_mod,,,,,bus_fx,grp_scripted_moment,snp_scripted_moment,,,,100,100,500,1000,1001,defaultmin,default,defaultmin,default,5,reject,,,1,1,,,,,,3d,default,,nonlooping,,,,,,,,no,yes,,,,,,,,,,,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_cng_launch,,loaded,madgaz\cng\evt_cng_launch.wav,,,amb_ambience_3d_mod,,,,,bus_fx,grp_scripted_moment,snp_scripted_moment,,,,100,100,500,700,701,defaultmin,default,defaultmin,default,5,reject,,,1,1,,,,,,3d,default,,nonlooping,,,,,,,,no,yes,,,,,,,,,,,,,yes,no,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
