Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
## CW BARRIER SOUNDS
cw_repair_boards,,streamed,barriers\repair_board\evt_repair_board_zhd_00.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,70,0,78,78,100,5000,5000,allon,default,allon,default,8,priority,2,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,1200,2500,,no,no,no,no,no,no,no,,,
cw_board_slam04,,streamed,barriers\repair_board\evt_board_repair_04.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,70,0,78,78,100,5000,5000,allon,default,allon,default,8,priority,2,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,1200,2500,,no,no,no,no,no,no,no,,,
cw_break_board_00,,streamed,barriers\break_board\zmb_break_board_00.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,70,0,78,78,100,5000,5000,allon,default,allon,default,8,priority,2,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,1200,2500,,no,no,no,no,no,no,no,,,
cw_break_board_01,,streamed,barriers\break_board\zmb_break_board_01.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,70,0,78,78,100,5000,5000,allon,default,allon,default,8,priority,2,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,1200,2500,,no,no,no,no,no,no,no,,,
cw_break_board_02,,streamed,barriers\break_board\zmb_break_board_02.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,70,0,78,78,100,5000,5000,allon,default,allon,default,8,priority,2,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,1200,2500,,no,no,no,no,no,no,no,,,
cw_break_board_03,,streamed,barriers\break_board\zmb_break_board_03.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,70,0,78,78,100,5000,5000,allon,default,allon,default,8,priority,2,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,1200,2500,,no,no,no,no,no,no,no,,,
cw_break_board_04,,streamed,barriers\break_board\zmb_break_board_04.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,70,0,78,78,100,5000,5000,allon,default,allon,default,8,priority,2,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,1200,2500,,no,no,no,no,no,no,no,,,
cw_break_board_05,,streamed,barriers\break_board\zmb_break_board_05.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,70,0,78,78,100,5000,5000,allon,default,allon,default,8,priority,2,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,1200,2500,,no,no,no,no,no,no,no,,,
## MOON ASCENSION BARRIER SOUND
