Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
wpn_t7_firestaff_fire_plr,,,black_ops_2\wpn\energy\staff\fire\shot\shot_front.wav,,,UIN_MOD,,wpn_dragon_shield_fire_rear_plr,,,BUS_FX,,,,,,80,80,0,1000,1000,,,,,3,oldest,,,1,1,,,,,,2d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragon_shield_fire_plr,,,black_ops_2\wpn\energy\staff\fire\shot\shot_front.wav,,,UIN_MOD,,wpn_dragon_shield_fire_rear_plr,,,BUS_FX,,,,,,80,80,0,1000,1000,,,,,3,oldest,,,1,1,,,,,,2d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragon_shield_fire_rear_plr,,,black_ops_2\wpn\energy\staff\fire\shot\shot_rear.wav,,,UIN_MOD,,wpn_dragon_shield_fire_flux_plr,,,BUS_FX,,,,,,80,80,0,1000,1000,,,,,3,oldest,,,1,1,,,,,,2d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragon_shield_fire_flux_plr,,,black_ops_2\wpn\energy\staff\fire\flux\flux.wav,,,UIN_MOD,,SECONDARY,,,BUS_FX,,,,,,70,70,0,1000,1000,,,,,3,oldest,,,1,1,,,,,,2d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragon_shield_fire_npc,,,black_ops_2\wpn\energy\staff\fire\shot\shot_front.wav,,,UIN_MOD,,wpn_dragon_shield_fire_rear_npc,,,BUS_FX,,,,,,80,80,0,1000,1000,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragon_shield_fire_rear_npc,,,black_ops_2\wpn\energy\staff\fire\shot\shot_rear.wav,,,UIN_MOD,,wpn_dragon_shield_fire_flux_npc,,,BUS_FX,,,,,,80,80,0,1000,1000,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_dragon_shield_fire_flux_npc,,,black_ops_2\wpn\energy\staff\fire\flux\flux.wav,,,UIN_MOD,,SECONDARY,,,BUS_FX,,,,,,70,70,0,1000,1000,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_firestaff_proj_loop,,,black_ops_2\wpn\energy\staff\fire\projectile\proj_loop.wav,,,GRP_WPN_LFE,,SECONDARY,,,BUS_FX,,,,,,70,70,0,500,500,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,LOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_firestaff_proj_impact,,,black_ops_2\wpn\energy\staff\fire\projectile\explo\proj_explo_00.wav,,,GRP_WPN_LFE,,SECONDARY,,,BUS_FX,,,,,,80,80,0,1000,1000,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_firestaff_proj_impact,,,black_ops_2\wpn\energy\staff\fire\projectile\explo\proj_explo_01.wav,,,GRP_WPN_LFE,,SECONDARY,,,BUS_FX,,,,,,80,80,0,1000,1000,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
