Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
#FIRESTAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_firestaff_1straise,,loaded,wpn\energy\staff\1straise\1straise_fire.wav,,,,,,,,bus_fx,grp_foley,snp_foley,,59,0,89,94,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,-88,84,70,70,0.25,1,no,2d,front_mostly,,nonlooping,,1,0,0,0,0,0.25,,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_firestaff_charge_1,,loaded,wpn\energy\staff\fire\charge\charge_1.wav,,,,,,,,bus_fx,grp_weapon,snp_wpn_1p_shot,,65,0,79,79,0,10000,10000,allon,default,allon,default,8,priority,3,oldest,0,0,100,100,0.25,1,no,2d,wpn_all,,nonlooping,,1,0,0,0,0,0.25,,yes,,0,,no,,,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_firestaff_charge_2,,loaded,wpn\energy\staff\fire\charge\charge_2.wav,,,,,,,,bus_fx,grp_weapon,snp_wpn_1p_shot,,65,0,79,79,0,10000,10000,allon,default,allon,default,8,priority,3,oldest,0,0,100,100,0.25,1,no,2d,wpn_all,,nonlooping,,1,0,0,0,0,0.25,,yes,,0,,no,,,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_firestaff_charge_3,,loaded,wpn\energy\staff\fire\charge\charge_3.wav,,,,,,,,bus_fx,grp_weapon,snp_wpn_1p_shot,,65,0,79,79,0,10000,10000,allon,default,allon,default,8,priority,3,oldest,0,0,100,100,0.25,1,no,2d,wpn_all,,nonlooping,,1,0,0,0,0,0.25,,yes,,0,,no,,,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_firestaff_charge_loop,,loaded,wpn\energy\staff\fire\charge\loop.wav,,,,,,,,bus_fx,grp_weapon,snp_wpn_1p_shot,,65,0,77,77,0,10000,10000,allon,default,allon,default,8,priority,3,oldest,0,0,100,100,0.25,1,no,2d,wpn_all,,looping,,1,0,0,0,0,0.25,,yes,,0,,no,,,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_firestaff_fire_npc,,loaded,wpn\energy\staff\fire\shot\shot_front.wav,,,,,wpn_firestaff_flux_left,,,bus_fx,grp_weapon_3p,snp_wpn_3p,,65,0,76,76,800,6000,6000,defaultmin,default,alloff,rcurve3,8,priority,3,oldest,0,0,80,90,0.25,1,no,3d,default,,nonlooping,,1,0,1500,12000,0,0.5,,no,,0,,no,water,over,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,2500,4000,,no,no,no,no,no,no,no,,,
wpn_firestaff_fire_npc_last,,loaded,wpn\energy\staff\fire\shot\shot_front.wav,,,,,wpn_firestaff_flux_left,,,bus_fx,grp_weapon_3p,snp_wpn_3p,,65,0,76,76,800,6000,6000,defaultmin,default,alloff,rcurve3,8,priority,3,oldest,0,0,80,90,0.25,1,no,3d,default,,nonlooping,,1,0,1500,12000,0,0.5,,no,,0,,no,water,over,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,2500,4000,,no,no,no,no,no,no,no,,,
wpn_firestaff_fire_plr,,loaded,wpn\energy\staff\fire\shot\shot_front.wav,,,,,wpn_firestaff_fire_rear,,,bus_fx,grp_weapon,snp_wpn_1p_shot,,65,0,85,85,0,10000,10000,allon,default,allon,default,8,priority,3,oldest,0,0,100,100,0.25,1,no,2d,wpn_all,,nonlooping,,1,0,0,0,0,0.25,,yes,,0,,no,,,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_firestaff_fire_plr_last,,loaded,wpn\energy\staff\fire\shot\shot_front.wav,,,,,wpn_firestaff_fire_rear,,,bus_fx,grp_weapon,snp_wpn_1p_shot,,65,0,85,85,0,10000,10000,allon,default,allon,default,8,priority,3,oldest,0,0,100,100,0.25,1,no,2d,wpn_all,,nonlooping,,1,0,0,0,0,0.25,,yes,,0,,no,,,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
