Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
evt_hacker_device_loop,,streamed,mpl\hacker\hacker_device_loop.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,0,0,60,60,100,800,800,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,looping,,1,0,0,0,0,0,no,no,,0,,no,perspective,npc,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_hacker_device_loop,,streamed,mpl\hacker\hacker_device_loop.wav,,,,,,,,BUS_FX,grp_player_foley,snp_foley,,0,0,72,72,0,10000,10000,allon,default,allon,default,3,oldest,8,oldest,-10,10,70,70,0,1,no,2d,center_mostly,,looping,,1,0,0,0,0,0.25,no,yes,,0,,no,perspective,player,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_hacker_fw_success,,loaded,mpl\hacker\hack_fw.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,0,0,80,80,150,1200,1200,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,front,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,perspective,npc,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_hacker_fw_success,,loaded,mpl\hacker\hack_fw.wav,,,,,,,,BUS_FX,grp_player_foley,snp_foley,,0,0,80,80,0,10000,10000,allon,default,allon,default,3,oldest,8,oldest,-10,10,70,70,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,perspective,player,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_hacker_hack_lost,,loaded,mpl\hacker\hack_target_lost.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,0,0,76,76,150,1200,1200,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,perspective,npc,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_hacker_hack_lost,,loaded,mpl\hacker\hack_target_lost.wav,,,,,,,,BUS_FX,grp_player_foley,snp_foley,,0,0,76,76,0,10000,10000,allon,default,allon,default,3,oldest,8,oldest,-10,10,70,70,0,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,perspective,player,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_hacker_hacking,,streamed,mpl\hacker\hacker.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,0,0,77,77,150,1200,1200,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,looping,,1,0,0,0,0,0,no,no,,0,,no,perspective,npc,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_hacker_hacking,,streamed,mpl\hacker\hacker.wav,,,,,,,,BUS_FX,grp_player_foley,snp_foley,,0,0,52,52,0,10000,10000,allon,default,allon,default,3,oldest,8,oldest,-10,10,70,70,0,1,no,2d,center_mostly,,looping,,1,0,0,0,0,0.25,no,yes,,0,,no,perspective,player,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_hacker_hacking_loop,,streamed,mpl\hacker\hacker_loop_02.wav,,,,,,,,BUS_FX,grp_player_foley,snp_foley,,0,0,67,67,0,10000,10000,allon,default,allon,default,3,oldest,8,oldest,-10,10,70,70,0,1,no,2d,center_mostly,,looping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_hacker_hacking_sweet,,streamed,mpl\hacker\hacker_loop_sweet_03.wav,,,,,,,,BUS_FX,grp_player_foley,snp_foley,,0,0,76,76,0,10000,10000,allon,default,allon,default,3,oldest,8,oldest,-10,10,70,70,0,1,no,2d,center_mostly,,looping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
