Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
howl_flux_l,,loaded,wolf_heads_sounds\howl_flux_l.wav,,,UIN_MOD,,,,,bus_fx,grp_ambience,,,,,100,100,250,1000,,,,,,,,,,,,,,,,,2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
howl_flux_r,,loaded,wolf_heads_sounds\howl_flux_r.wav,,,UIN_MOD,,,,,bus_fx,grp_ambience,,,,,100,100,250,1000,,,,,,,,,,,,,,,,,2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soul_count,,loaded,wolf_heads_sounds\soul_count.wav,,,UIN_MOD,,,,,bus_fx,grp_ambience,,,,,100,100,250,1000,,,,,,,,,,,,,,,,,2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wolf_soul_suck,,loaded,wolf_heads_sounds\soul_suck.wav,,,UIN_MOD,,,,,bus_fx,grp_ambience,,,,,90,95,250,1000,,,,,,,,,,,,,,,,,2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wolf_bark_00,,loaded,wolf_heads_sounds\wolf_bark_00.wav,,,UIN_MOD,,,,,bus_fx,grp_ambience,,,,,100,100,250,1000,,,,,,,,,,,,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wolf_bark_01,,loaded,wolf_heads_sounds\wolf_bark_01.wav,,,UIN_MOD,,,,,bus_fx,grp_ambience,,,,,100,100,250,1000,,,,,,,,,,,,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wolf_bark_02,,loaded,wolf_heads_sounds\wolf_bark_02.wav,,,UIN_MOD,,,,,bus_fx,grp_ambience,,,,,100,100,250,1000,,,,,,,,,,,,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wolf_bark_03,,loaded,wolf_heads_sounds\wolf_bark_03.wav,,,UIN_MOD,,,,,bus_fx,grp_ambience,,,,,100,100,250,1000,,,,,,,,,,,,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wolf_bark_04,,loaded,wolf_heads_sounds\wolf_bark_04.wav,,,UIN_MOD,,,,,bus_fx,grp_ambience,,,,,100,100,250,1000,,,,,,,,,,,,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wolf_bark_05,,loaded,wolf_heads_sounds\wolf_bark_05.wav,,,UIN_MOD,,,,,bus_fx,grp_ambience,,,,,100,100,250,1000,,,,,,,,,,,,,,,,,3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
