Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
vox_nesting_0,,streamed,zmb\zmb_blops\wpn\matroyshka\chrs\demp.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,62,70,81,81,400,1200,1250,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,24,200,80,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
vox_nesting_1,,streamed,zmb\zmb_blops\wpn\matroyshka\chrs\niko.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,62,70,81,81,400,1200,1250,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,24,200,80,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
vox_nesting_2,,streamed,zmb\zmb_blops\wpn\matroyshka\chrs\tak.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,62,70,81,81,400,1200,1250,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,24,200,80,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
vox_nesting_3,,streamed,zmb\zmb_blops\wpn\matroyshka\chrs\ric.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,62,70,81,81,400,1200,1250,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,24,200,80,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
wpn_nesting_bounce_asphalt,,loaded,zmb\zmb_blops\wpn\matroyshka\bounce\bounce_00.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,67,67,500,10000,11000,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_nesting_bounce_asphalt,,loaded,zmb\zmb_blops\wpn\matroyshka\bounce\bounce_01.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,67,67,500,10000,11000,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_nesting_bounce_asphalt,,loaded,zmb\zmb_blops\wpn\matroyshka\bounce\bounce_02.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,67,67,500,10000,11000,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_nesting_bounce_asphalt,,loaded,zmb\zmb_blops\wpn\matroyshka\bounce\bounce_03.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,67,67,500,10000,11000,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_nesting_bounce_asphalt,,loaded,zmb\zmb_blops\wpn\matroyshka\bounce\bounce_04.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,67,67,500,10000,11000,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_nesting_bounce_asphalt,,loaded,zmb\zmb_blops\wpn\matroyshka\bounce\bounce_05.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,67,67,500,10000,11000,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
