Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
zmb_teleporter_anim_collapse,,loaded,zmb\level\zm_tomb\sq\teleporter\collapse.wav,,,,,,,,BUS_FX,grp_set_piece,snp_set_piece,,40,0,80,80,250,750,800,allon,default,allon,default,8,priority,8,oldest,0,0,50,80,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_teleporter_anim_collapse_pew,,loaded,zmb\level\zm_tomb\avo_warp_out.wav,,,,,,,,BUS_FX,grp_set_piece,snp_set_piece,,40,0,80,80,250,750,800,allon,default,allon,default,8,priority,8,oldest,0,0,50,80,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_teleporter_anim_rock,,loaded,zmb\level\zm_tomb\sq\teleporter\rock\rock_00.wav,,,,,,,,BUS_FX,grp_set_piece,snp_set_piece,,40,0,75,75,250,750,800,allon,default,allon,default,8,priority,8,oldest,0,0,50,80,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_teleporter_anim_rock,,loaded,zmb\level\zm_tomb\sq\teleporter\rock\rock_01.wav,,,,,,,,BUS_FX,grp_set_piece,snp_set_piece,,40,0,75,75,250,750,800,allon,default,allon,default,8,priority,8,oldest,0,0,50,80,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_teleporter_anim_rock,,loaded,zmb\level\zm_tomb\sq\teleporter\rock\rock_02.wav,,,,,,,,BUS_FX,grp_set_piece,snp_set_piece,,40,0,75,75,250,750,800,allon,default,allon,default,8,priority,8,oldest,0,0,50,80,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_teleporter_anim_rock,,loaded,zmb\level\zm_tomb\sq\teleporter\rock\rock_03.wav,,,,,,,,BUS_FX,grp_set_piece,snp_set_piece,,40,0,75,75,250,750,800,allon,default,allon,default,8,priority,8,oldest,0,0,50,80,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_teleporter_anim_rock_last,,loaded,zmb\level\zm_tomb\avo_warp_in.wav,,,,,zmb_teleporter_anim_rock,,,BUS_FX,grp_set_piece,snp_set_piece,,40,0,83,83,250,750,800,allon,default,allon,default,8,priority,8,oldest,0,0,50,80,0.25,1,no,3d,default,,nonlooping,,1,300,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_teleporter_anim_start,,loaded,zmb\level\zm_tomb\sq\teleporter\start.wav,,,,,,,,BUS_FX,grp_set_piece,snp_set_piece,,40,0,80,80,250,750,800,allon,default,allon,default,8,priority,8,oldest,0,0,50,80,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_teleporter_loop_post,,loaded,zmb\level\zm_tomb\teleporter\loop.wav,,,,,,,,BUS_FX,grp_set_piece,snp_set_piece,,40,0,70,70,150,750,800,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,looping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_teleporter_loop_pre,,loaded,zmb\level\zm_tomb\sq\teleporter\loop.wav,,,,,,,,BUS_FX,grp_set_piece,snp_set_piece,,40,0,73,73,250,750,800,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,looping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
