Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber,
#PERKSFX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_belch,,loaded,zmb\perksacola\bottle\belch.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,10,0,80,80,100,450,700,allon,default,allon,default,8,priority,8,oldest,-100,100,70,75,0.25,1,no,3d,front,,nonlooping,,1,0,50,150,92,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_bottle_break,,loaded,zmb\perksacola\bottle\break.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,10,0,80,80,100,450,700,allon,default,allon,default,8,priority,8,oldest,-100,100,70,75,0.25,1,no,3d,front,,nonlooping,,1,500,50,150,92,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_bottle_dispense,,loaded,zmb\perksacola\bottle\dispense.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,40,0,83,83,100,450,700,allon,default,allon,default,6,priority,8,oldest,-100,100,70,75,0.25,1,no,3d,default,,nonlooping,,1,0,50,150,92,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_perk_bottle_open,,loaded,zmb\perksacola\bottle\open.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,10,0,83,83,100,450,700,allon,default,allon,default,8,priority,8,oldest,-100,100,70,75,0.25,1,no,3d,front,,nonlooping,,1,0,50,150,92,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_perk_deny,,loaded,zmb\perksacola\bottle\deny.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,40,0,74,74,100,450,700,allon,default,allon,default,6,priority,8,oldest,-100,100,70,75,0.25,1,no,3d,default,,nonlooping,,1,0,50,150,92,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_perk_swallow,,loaded,zmb\perksacola\bottle\swallow.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,10,0,83,83,100,450,700,allon,default,allon,default,8,priority,8,oldest,-100,100,70,75,0.25,1,no,3d,front,,nonlooping,,1,0,50,150,92,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_perks_broken_jingle,,loaded,zmb\perksacola\common\broken_rands\random_00.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,40,0,68,68,50,350,600,allon,default,allon,default,6,priority,8,oldest,0,0,25,50,0.25,1,no,3d,default,,nonlooping,,1,0,50,150,92,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_perks_broken_jingle,,loaded,zmb\perksacola\common\broken_rands\random_01.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,40,0,68,68,50,350,600,allon,default,allon,default,6,priority,8,oldest,0,0,25,50,0.25,1,no,3d,default,,nonlooping,,1,0,50,150,92,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_perks_broken_jingle,,loaded,zmb\perksacola\common\broken_rands\random_02.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,40,0,68,68,50,350,600,allon,default,allon,default,6,priority,8,oldest,0,0,25,50,0.25,1,no,3d,default,,nonlooping,,1,0,50,150,92,0.4,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
