Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_rain_interior_low,,loaded,_reapy\amb\weather\rain\mixkit_light_rain_loop_1253.wav,,,AMB_AIR_ROOM_TONE_2D,,,,,BUS_FX,,,,50,,75,75,,,,,,,,,,,,-50,50,40,60,0,1,,,,,LOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_rain_interior_med,,loaded,amb\weather\rain\_on_stuff\on_concrete\hard\amb_rain_on_concrete_hard_04.wav,,,AMB_AIR_ROOM_TONE_2D,,,,,BUS_FX,,,,50,,79,79,,,,,,,,,,,,-50,50,40,60,0,1,,,,,LOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_rain_interior_high,,loaded,amb\weather\rain\outdoor_stereo\blackstation_new\amb_rain_ext.wav,,,AMB_AIR_ROOM_TONE_2D,,,,,BUS_FX,,,,50,,82,82,,,,,,,,,,,,-50,50,40,60,0,1,,,,,LOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_rain_liminal_low,,loaded,_reapy\amb\weather\rain\mixkit_light_rain_loop_1253.wav,,,AMB_AMBIENCE_AIR_2D_MOD,,,,,BUS_FX,,,,75,,80,80,,,,,,,,,,,,-50,50,40,60,0,1,,,,,LOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_rain_liminal_med,,loaded,amb\weather\rain\_on_stuff\on_concrete\hard\amb_rain_on_concrete_hard_04.wav,,,AMB_AMBIENCE_AIR_2D_MOD,,,,,BUS_FX,,,,75,,84,84,,,,,,,,,,,,-50,50,40,60,0,1,,,,,LOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_rain_liminal_high,,loaded,amb\weather\rain\outdoor_stereo\blackstation_new\amb_rain_ext.wav,,,AMB_AMBIENCE_AIR_2D_MOD,,,,,BUS_FX,,,,75,,85,85,,,,,,,,,,,,-50,50,40,60,0,1,,,,,LOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_rain_exterior_low,,loaded,_reapy\amb\weather\rain\mixkit_light_rain_loop_1253.wav,,,AMB_AMBIENCE_AIR_2D_MOD,,,,,BUS_FX,,,,,,83,83,,,,,,,,,,,,-50,50,40,60,0,1,,,,,LOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
