Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber,
zmb_vocals_zombie_ambient,,loaded,re_vox_zombie\amb\amb_00.wav,,,,,,,,BUS_VOICE,grp_voice,snp_x3,,60,0,80,83,200,2400,2600,allon,default,rev65,default,3,priority,1,reject,-300,300,30,60,0.25,1,no,3d,default,,nonlooping,,1,0,24,74,85,0.5,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_vocals_zombie_ambient,,loaded,re_vox_zombie\amb\amb_01.wav,,,,,,,,BUS_VOICE,grp_voice,snp_x3,,60,0,80,83,200,2400,2600,allon,default,rev65,default,3,priority,1,reject,-300,300,30,60,0.25,1,no,3d,default,,nonlooping,,1,0,24,74,85,0.5,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_vocals_zombie_ambient,,loaded,re_vox_zombie\amb\amb_02.wav,,,,,,,,BUS_VOICE,grp_voice,snp_x3,,60,0,80,83,200,2400,2600,allon,default,rev65,default,3,priority,1,reject,-300,300,30,60,0.25,1,no,3d,default,,nonlooping,,1,0,24,74,85,0.5,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_vocals_zombie_ambient,,loaded,re_vox_zombie\amb\amb_03.wav,,,,,,,,BUS_VOICE,grp_voice,snp_x3,,60,0,80,83,200,2400,2600,allon,default,rev65,default,3,priority,1,reject,-300,300,30,60,0.25,1,no,3d,default,,nonlooping,,1,0,24,74,85,0.5,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_vocals_zombie_ambient,,loaded,re_vox_zombie\amb\amb_04.wav,,,,,,,,BUS_VOICE,grp_voice,snp_x3,,60,0,80,83,200,2400,2600,allon,default,rev65,default,3,priority,1,reject,-300,300,30,60,0.25,1,no,3d,default,,nonlooping,,1,0,24,74,85,0.5,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_vocals_zombie_ambient,,loaded,re_vox_zombie\amb\amb_05.wav,,,,,,,,BUS_VOICE,grp_voice,snp_x3,,60,0,80,83,200,2400,2600,allon,default,rev65,default,3,priority,1,reject,-300,300,30,60,0.25,1,no,3d,default,,nonlooping,,1,0,24,74,85,0.5,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_vocals_zombie_ambient_loud,,loaded,re_vox_zombie\amb\amb_00.wav,,,,,,,,BUS_VOICE,grp_voice,snp_x3,,60,0,85,88,150,6500,6500,allon,default,rev65,default,6,priority,1,reject,-300,300,30,60,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.35,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_vocals_zombie_ambient_loud,,loaded,re_vox_zombie\amb\amb_01.wav,,,,,,,,BUS_VOICE,grp_voice,snp_x3,,60,0,85,88,150,6500,6500,allon,default,rev65,default,6,priority,1,reject,-300,300,30,60,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.35,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_vocals_zombie_ambient_loud,,loaded,re_vox_zombie\amb\amb_02.wav,,,,,,,,BUS_VOICE,grp_voice,snp_x3,,60,0,85,88,150,6500,6500,allon,default,rev65,default,6,priority,1,reject,-300,300,30,60,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.35,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_vocals_zombie_ambient_loud,,loaded,re_vox_zombie\amb\amb_03.wav,,,,,,,,BUS_VOICE,grp_voice,snp_x3,,60,0,85,88,150,6500,6500,allon,default,rev65,default,6,priority,1,reject,-300,300,30,60,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.35,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_vocals_zombie_ambient_loud,,loaded,re_vox_zombie\amb\amb_04.wav,,,,,,,,BUS_VOICE,grp_voice,snp_x3,,60,0,85,88,150,6500,6500,allon,default,rev65,default,6,priority,1,reject,-300,300,30,60,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.35,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
