Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber

#MAGMAPRESS
evt_power_switch_moon,,loaded,zmb\level\zm_moon\power_switch_moon\switch\evt_power_switch_moon.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,0,0,95,95,100,1200,1200,allon,default,allon,default,3,priority,1,reject,-50,50,50,60,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
hydraulic_start,,loaded,zmb\zmb_blops\evt\mp_radiation\doors\hydraulic\hydraulic_start.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,0,0,95,100,100,1200,1200,allon,default,allon,default,3,priority,1,reject,-50,50,50,60,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
hydraulic_loop,,loaded,zmb\zmb_blops\evt\mp_radiation\doors\hydraulic\hydraulic_loop.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,0,0,100,100,100,1200,1200,allon,default,allon,default,3,priority,1,reject,-50,50,50,60,0,1,no,3d,default,,looping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
hydraulic_close,,loaded,zmb\zmb_blops\evt\mp_radiation\doors\hydraulic\hydraulic_close.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,0,0,95,100,100,1200,1200,allon,default,allon,default,3,priority,1,reject,-50,50,50,60,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,

steam_press,,loaded,zmb\level\zm_stalingrad\quest\magneto\steam.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,0,0,95,100,100,1200,1200,allon,default,allon,default,3,priority,1,reject,-50,50,50,60,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
plastic_junk_rattle,,loaded,amb\material_movement\rattles\plastic\junk\plastic_junk_rattle_02.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,0,0,95,100,100,1200,1200,allon,default,allon,default,3,priority,1,reject,-50,50,50,60,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
plastic_junk_rattle,,loaded,amb\material_movement\rattles\plastic\junk\plastic_junk_rattle_03.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,0,0,95,100,100,1200,1200,allon,default,allon,default,3,priority,1,reject,-50,50,50,60,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,

amb_chain_creak,,loaded,zmb\zmb_blops\raven\ambience\oneshot\metal\chains\amb_chain_creak01.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,0,0,100,100,100,1200,1200,allon,default,allon,default,3,priority,1,reject,-50,50,50,60,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
