Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
amb_thunder_clap_00,,,amb\weather\thunder\clap_dist_st\amb_thunder_clap_00.wav,,,AMB_AMBIENCE_AIR_2D_MOD,,,,,BUS_FX,,,,,,80,80,,,,,,,,,,,,,,100,100,0,1,,,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_thunder_clap_01,,,amb\weather\thunder\clap_dist_st\amb_thunder_clap_01.wav,,,AMB_AMBIENCE_AIR_2D_MOD,,,,,BUS_FX,,,,,,80,80,,,,,,,,,,,,,,100,100,0,1,,,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_thunder_clap_03,,,amb\weather\thunder\clap_dist_st\amb_thunder_clap_03.wav,,,AMB_AMBIENCE_AIR_2D_MOD,,,,,BUS_FX,,,,,,80,80,,,,,,,,,,,,,,100,100,0,1,,,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_thunder_clap_04,,,amb\weather\thunder\clap_dist_st\amb_thunder_clap_04.wav,,,AMB_AMBIENCE_AIR_2D_MOD,,,,,BUS_FX,,,,,,80,80,,,,,,,,,,,,,,100,100,0,1,,,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_thunder_clap_05,,,amb\weather\thunder\clap_dist_st\amb_thunder_clap_05.wav,,,AMB_AMBIENCE_AIR_2D_MOD,,,,,BUS_FX,,,,,,80,80,,,,,,,,,,,,,,100,100,0,1,,,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thunder_low_dist_00,,,amb\weather\thunder\distant\low\thunder_low_dist_00.wav,,,AMB_AMBIENCE_AIR_2D_MOD,,,,,BUS_FX,,,,,,100,100,,,,,,,,,,,,,,100,100,0,1,,,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thunder_low_dist_01,,,amb\weather\thunder\distant\low\thunder_low_dist_01.wav,,,AMB_AMBIENCE_AIR_2D_MOD,,,,,BUS_FX,,,,,,100,100,,,,,,,,,,,,,,100,100,0,1,,,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thunder_low_dist_02,,,amb\weather\thunder\distant\low\thunder_low_dist_02.wav,,,AMB_AMBIENCE_AIR_2D_MOD,,,,,BUS_FX,,,,,,100,100,,,,,,,,,,,,,,100,100,0,1,,,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thunder_low_dist_03,,,amb\weather\thunder\distant\low\thunder_low_dist_03.wav,,,AMB_AMBIENCE_AIR_2D_MOD,,,,,BUS_FX,,,,,,100,100,,,,,,,,,,,,,,100,100,0,1,,,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thunder_low_dist_04,,,amb\weather\thunder\distant\low\thunder_low_dist_04.wav,,,AMB_AMBIENCE_AIR_2D_MOD,,,,,BUS_FX,,,,,,100,100,,,,,,,,,,,,,,100,100,0,1,,,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
