Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
 
 
bus_doors_close,,,zmb\level\zm_transit\bus\bus_door_close.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,70,70,0,1000,1001,,,,,3,oldest,,,1,1,,,,,,3d,default,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bus_doors_open,,,zmb\level\zm_transit\bus\bus_door_open.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,70,70,0,1000,1001,,,,,3,oldest,,,1,1,,,,,,3d,default,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bus_tire_burn,,,zmb\level\zm_transit\bus\tire_burn_loop.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,70,70,0,1000,1001,,,,,3,oldest,,,1,1,,,,,,3d,default,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 
bus_airbrake,,,zmb\level\zm_transit\bus\airbrake\airbrake_00.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,70,70,0,1000,1001,,,,,3,oldest,,,1,1,,,,,,3d,default,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bus_airbrake,,,zmb\level\zm_transit\bus\airbrake\airbrake_01.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,70,70,0,1000,1001,,,,,3,oldest,,,1,1,,,,,,3d,default,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 
bus_startmove,,,zmb\level\zm_transit\bus\new_bus\zmb_bus_start_move.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,70,70,0,4000,4001,,,,,3,oldest,,,1,1,,,,,,3d,default,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
