Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
#Kortifex Announcer
vox_zmba_powerup_doublepoints_0,,,west\ann\kortifex\zm_cmcp_cann_zann_apdp_doublepoints.wav,,,UIN_MOD,,,,,BUS_VOICE,,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_zmba_powerup_firesale_0,,,west\ann\kortifex\zm_cmcp_cann_zann_apfs_firesale.wav,,,UIN_MOD,,,,,BUS_VOICE,,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_zmba_powerup_instakill_0,,,west\ann\kortifex\zm_cmcp_cann_zann_apik_instakill.wav,,,UIN_MOD,,,,,BUS_VOICE,,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_zmba_powerup_maxammo_0,,,west\ann\kortifex\zm_cmcp_cann_zann_apam_maxammo.wav,,,UIN_MOD,,,,,BUS_VOICE,,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_zmba_powerup_nuke_0,,,west\ann\kortifex\zm_cmcp_cann_zann_apkb_kaboom.wav,,,UIN_MOD,,,,,BUS_VOICE,,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_zmba_powerup_pts_solo_0,,,west\ann\kortifex\zm_cmcp_cann_zann_apbp_bonuspoints.wav,,,UIN_MOD,,,,,BUS_VOICE,,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_zmba_powerup_pts_team_0,,,west\ann\kortifex\zm_cmcp_cann_zann_apbp_bonuspoints.wav,,,UIN_MOD,,,,,BUS_VOICE,,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_zmba_event_dogstart_0,,,west\ann\kortifex\zm_cmcp_cann_zann_asen_fetchmetheirsouls.wav,,,UIN_MOD,,,,,BUS_VOICE,,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_zmba_event_dogstart_1,,,west\ann\kortifex\zm_cmcp_cann_zann_asen_tearthemtopieces.wav,,,UIN_MOD,,,,,BUS_VOICE,,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_zmba_event_magicbox_0,,,west\ann\kortifex\zm_cmcp_cann_zann_abox_byebye.wav,,,UIN_MOD,,,,,BUS_VOICE,,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zmb_laugh_child,,,west\ann\kortifex\zm_cmcp_cann_zann_agvr_laughter.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,90,90,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zmb_laugh_sam,,,west\ann\kortifex\zm_cmcp_cann_zann_agvr_laughter.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,90,90,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
