Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber,
zmb_hellhound_prespawn,,loaded,zmb\ai\hellhounds\exp_bo3\spirit\exp_hellhound_spirit_00.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,95,95,150,2000,4500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,150,2000,75,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_hellhound_prespawn,,loaded,zmb\ai\hellhounds\exp_bo3\spirit\exp_hellhound_spirit_01.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,95,95,150,2000,4500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,150,2000,75,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_hellhound_prespawn,,loaded,zmb\ai\hellhounds\exp_bo3\spirit\exp_hellhound_spirit_02.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,95,95,150,2000,4500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,150,2000,75,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_hellhound_prespawn,,loaded,zmb\ai\hellhounds\exp_bo3\spirit\exp_hellhound_spirit_03.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,95,95,150,2000,4500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,150,2000,75,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_hellhound_prespawn,,loaded,zmb\ai\hellhounds\exp_bo3\spirit\exp_hellhound_spirit_04.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,95,95,150,2000,4500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,150,2000,75,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_hellhound_spawn,,loaded,zmb\ai\hellhounds\_zhd\spawn\zmb_hellhound_spawn_00.wav,,,,,zmb_hellhound_spawn_lfe,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,95,95,150,2000,4500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,150,2000,75,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_hellhound_spawn,,loaded,zmb\ai\hellhounds\_zhd\spawn\zmb_hellhound_spawn_01.wav,,,,,zmb_hellhound_spawn_lfe,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,95,95,150,2000,4500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,150,2000,75,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_hellhound_spawn,,loaded,zmb\ai\hellhounds\_zhd\spawn\zmb_hellhound_spawn_02.wav,,,,,zmb_hellhound_spawn_lfe,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,95,95,150,2000,4500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,150,2000,75,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_hellhound_spawn,,loaded,zmb\ai\hellhounds\_zhd\spawn\zmb_hellhound_spawn_03.wav,,,,,zmb_hellhound_spawn_lfe,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,95,95,150,2000,4500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,150,2000,75,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_hellhound_spawn_lfe,,loaded,zmb\ai\hellhounds\spawn\spawn_lfe.wav,,,,,zmb_hellhound_spawn_flux,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,100,100,150,2000,4500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,150,2000,75,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_hellhound_spawn_flux,,loaded,zmb\ai\hellhounds\spawn\spn_flux_l.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,65,65,150,2000,4500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,150,2000,75,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
