Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
#MANGLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_raz_exert_enrage,,streamed,zmb\ai\raz\exerts\enrage\vox_plr_1_exert_charge_00.wav,,,,,zmb_raz_enrage,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,57,70,97,97,750,2000,2500,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,250,500,90,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
vox_raz_exert_enrage,,streamed,zmb\ai\raz\exerts\enrage\vox_plr_1_exert_charge_01.wav,,,,,zmb_raz_enrage,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,57,70,97,97,750,2000,2500,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,250,500,90,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
vox_raz_exert_enrage,,streamed,zmb\ai\raz\exerts\enrage\vox_plr_1_exert_charge_02.wav,,,,,zmb_raz_enrage,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,57,70,97,97,750,2000,2500,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,250,500,90,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
vox_raz_exert_enrage,,streamed,zmb\ai\raz\exerts\enrage\vox_plr_1_exert_charge_03.wav,,,,,zmb_raz_enrage,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,57,70,97,97,750,2000,2500,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,250,500,90,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
vox_raz_exert_enrage,,streamed,zmb\ai\raz\exerts\enrage\vox_plr_1_exert_charge_04.wav,,,,,zmb_raz_enrage,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,57,70,97,97,750,2000,2500,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,250,500,90,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
vox_raz_exert_enrage,,streamed,zmb\ai\raz\exerts\enrage\vox_plr_1_exert_laugh_05.wav,,,,,zmb_raz_enrage,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,57,70,97,97,750,2000,2500,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,250,500,90,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
vox_raz_exert_melee,,streamed,zmb\ai\raz\exerts\melee\vox_plr_1_exert_melee_00.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,57,70,96,96,150,1000,1200,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,80,100,80,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
vox_raz_exert_melee,,streamed,zmb\ai\raz\exerts\melee\vox_plr_1_exert_melee_01.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,57,70,96,96,150,1000,1200,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,80,100,80,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
vox_raz_exert_melee,,streamed,zmb\ai\raz\exerts\melee\vox_plr_1_exert_melee_02.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,57,70,96,96,150,1000,1200,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,80,100,80,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
vox_raz_exert_melee,,streamed,zmb\ai\raz\exerts\melee\vox_plr_1_exert_melee_03.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,57,70,96,96,150,1000,1200,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,80,100,80,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
vox_raz_exert_melee,,streamed,zmb\ai\raz\exerts\melee\vox_plr_1_exert_melee_04.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,57,70,96,96,150,1000,1200,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,80,100,80,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
vox_raz_exert_melee,,streamed,zmb\ai\raz\exerts\melee\vox_plr_1_exert_melee_04_alt01.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,57,70,96,96,150,1000,1200,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,80,100,80,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
vox_raz_exert_melee,,streamed,zmb\ai\raz\exerts\melee\vox_plr_1_exert_melee_04_alt02.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,57,70,96,96,150,1000,1200,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,80,100,80,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
vox_raz_exert_melee,,streamed,zmb\ai\raz\exerts\melee\vox_plr_1_exert_melee_04_alt03.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,57,70,96,96,150,1000,1200,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,80,100,80,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
vox_raz_exert_melee,,streamed,zmb\ai\raz\exerts\melee\vox_plr_1_exert_melee_04_alt04.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,57,70,96,96,150,1000,1200,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,80,100,80,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
vox_raz_exert_melee,,streamed,zmb\ai\raz\exerts\melee\vox_plr_1_exert_melee_04_alt05.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,57,70,96,96,150,1000,1200,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,80,100,80,0.35,no,yes,,0,,no,,,perspective,npc,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
