Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
mus_zm_brodes_intro,,streamed,mus\zm\castle\eggs\dead_again_43.wav,,,,,,,,bus_music,grp_music,snp_never_duck,cmn_duck_music,0,0,100,100,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,100,100,0,1,no,2d,music_all,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,yes,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
mus_zm_brodes_underscore_startzone,,streamed,mus\zm\revelations\revelations\underscores\underdark_v2_mas.wav,,,,,,,,bus_music,grp_music,snp_music,,0,0,86,86,0,10000,10000,allon,default,allon,default,1,oldest,8,oldest,0,0,100,100,0,1,no,2d,music_all,,looping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,yes,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
mus_zm_brodes_underscore_zone01,,streamed,mus\zm\revelations\der_eisendrache\underscore\mus_eisendrache_Dungeon.wav,,,,,,,,bus_music,grp_music,snp_music,,0,0,86,86,0,10000,10000,allon,default,allon,default,1,oldest,8,oldest,0,0,100,100,0,1,no,2d,music_all,,looping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,yes,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
mus_zm_brodes_underscore_zone02,,streamed,mus\zombie\zod\underscore\zod_underground_v1.wav,,,,,,,,bus_music,grp_music,snp_music,,0,0,86,86,0,10000,10000,allon,default,allon,default,1,oldest,8,oldest,0,0,100,100,0,1,no,2d,music_all,,looping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,yes,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
mus_zm_brodes_underscore_zone03,,streamed,mus\zm\revelations\mob\underscore\mus_mob_prison_underscore.wav,,,,,,,,bus_music,grp_music,snp_music,,0,0,86,86,0,10000,10000,allon,default,allon,default,1,oldest,8,oldest,0,0,100,100,0,1,no,2d,music_all,,looping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,yes,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
mus_zm_brodes_underscore_default,,streamed,mus\zm\revelations\revelations\underscores\underdark_v2_mas.wav,,,,,,,,bus_music,grp_music,snp_music,,0,0,70,70,0,10000,10000,allon,default,allon,default,1,oldest,8,oldest,0,0,100,100,0,1,no,2d,music_all,,looping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,yes,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_lullaby_for_a_dead_man_intro,,streamed,mus\zm\dlc5\ee_final_mixes\lullaby_for_a_dead_man.wav,,,,,,,,bus_music,grp_music,snp_never_duck,cmn_duck_underscore_and_round,0,0,100,100,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,100,100,0,1,no,2d,music_all,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,yes,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
mus_fire_sale,,streamed,mus\zombie\firesale\mus_chap205_19.wav,,,,,,,,bus_music,grp_music,snp_music,,67,0,88,88,400,1750,2000,allon,default,allon,default,3,priority,8,oldest,0,0,90,95,0.5,1,no,3d,music_all,,looping,,1,0,0,0,0,0.2,no,yes,,0,,no,,,,,,,,,yes,yes,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
mus_gameover_intro,,streamed,mus\zm\derreise\death_song\mus_slow_death_song.wav,,,,,,,,bus_music,grp_music,snp_music,,0,0,90,90,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,100,100,0,1,no,2d,music_all,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,no,yes,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
