Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
zmb_electrozomb_lp,,loaded,evt\cp_zmb\electrozombie\electrical_loop.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,30,0,72,72,200,1100,1500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,looping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
zmb_elemental_zombie_explode_fire,,loaded,wpn\grenade\incendiary\explosion\exp_incendiary_00.wav,,,,,zmb_elemental_zombie_explode_fire_close,,,BUS_FX,grp_explosion,snp_grenade,exp_grenade,50,0,79,79,400,2000,2000,allon,default,allon,rcurve3,2,priority,8,oldest,-100,100,25,80,0.25,0.75,no,3d,default,,nonlooping,,1,0,200,600,60,0.3,yes,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,3000,4000,,no,no,no,no,no,no,no,,,
zmb_elemental_zombie_explode_fire,,loaded,wpn\grenade\incendiary\explosion\exp_incendiary_01.wav,,,,,zmb_elemental_zombie_explode_fire_close,,,BUS_FX,grp_explosion,snp_grenade,exp_grenade,50,0,79,79,400,2000,2000,allon,default,allon,rcurve3,2,priority,8,oldest,-100,100,25,80,0.25,0.75,no,3d,default,,nonlooping,,1,0,200,600,60,0.3,yes,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,3000,4000,,no,no,no,no,no,no,no,,,
zmb_elemental_zombie_explode_fire,,loaded,wpn\grenade\incendiary\explosion\exp_incendiary_02.wav,,,,,zmb_elemental_zombie_explode_fire_close,,,BUS_FX,grp_explosion,snp_grenade,exp_grenade,50,0,79,79,400,2000,2000,allon,default,allon,rcurve3,2,priority,8,oldest,-100,100,25,80,0.25,0.75,no,3d,default,,nonlooping,,1,0,200,600,60,0.3,yes,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,3000,4000,,no,no,no,no,no,no,no,,,
zmb_elemental_zombie_explode_fire_close,,loaded,wpn\grenade\incendiary\ignite\exp_incindiary_ignite_00.wav,,,,,zmb_elemental_zombie_explode_fire_lfe,,,BUS_FX,grp_explosion,snp_grenade,,5,0,74,74,250,1500,1500,allon,default,allon,default,2,priority,8,oldest,-100,100,25,80,0.25,0.75,no,3d,default,,nonlooping,,1,0,100,750,70,0,yes,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,700,1400,,no,no,no,no,no,no,no,,,
zmb_elemental_zombie_explode_fire_close,,loaded,wpn\grenade\incendiary\ignite\exp_incindiary_ignite_01.wav,,,,,zmb_elemental_zombie_explode_fire_lfe,,,BUS_FX,grp_explosion,snp_grenade,,5,0,74,74,250,1500,1500,allon,default,allon,default,2,priority,8,oldest,-100,100,25,80,0.25,0.75,no,3d,default,,nonlooping,,1,0,100,750,70,0,yes,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,700,1400,,no,no,no,no,no,no,no,,,
zmb_elemental_zombie_explode_fire_close,,loaded,wpn\grenade\incendiary\ignite\exp_incindiary_ignite_02.wav,,,,,zmb_elemental_zombie_explode_fire_lfe,,,BUS_FX,grp_explosion,snp_grenade,,5,0,74,74,250,1500,1500,allon,default,allon,default,2,priority,8,oldest,-100,100,25,80,0.25,0.75,no,3d,default,,nonlooping,,1,0,100,750,70,0,yes,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,700,1400,,no,no,no,no,no,no,no,,,
zmb_elemental_zombie_explode_fire_close,,loaded,wpn\grenade\incendiary\ignite\exp_incindiary_ignite_03.wav,,,,,zmb_elemental_zombie_explode_fire_lfe,,,BUS_FX,grp_explosion,snp_grenade,,5,0,74,74,250,1500,1500,allon,default,allon,default,2,priority,8,oldest,-100,100,25,80,0.25,0.75,no,3d,default,,nonlooping,,1,0,100,750,70,0,yes,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,700,1400,,no,no,no,no,no,no,no,,,
zmb_elemental_zombie_explode_fire_flare,,loaded,wpn\grenade\incendiary\flare\wpn_incindiary_flare_00.wav,,,,,,,,BUS_FX,grp_explosion,snp_grenade,,5,0,74,74,150,900,1200,allon,default,allon,default,2,priority,8,oldest,-350,350,25,80,0.25,0.75,no,3d,default,,nonlooping,,1,0,100,750,70,0,yes,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
zmb_elemental_zombie_explode_fire_flare,,loaded,wpn\grenade\incendiary\flare\wpn_incindiary_flare_01.wav,,,,,,,,BUS_FX,grp_explosion,snp_grenade,,5,0,74,74,150,900,1200,allon,default,allon,default,2,priority,8,oldest,-350,350,25,80,0.25,0.75,no,3d,default,,nonlooping,,1,0,100,750,70,0,yes,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
