Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
hr_soul_spawn,,loaded,zmb\level\zm_zod\swordquest\soul_release\evt_soul_release_00.wav,,,AMB_AMBIENCE_3D_MOD,,,,,,,,,,,100,100,300,1000,,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_soul_spawn,,loaded,zmb\level\zm_zod\swordquest\soul_release\evt_soul_release_01.wav,,,AMB_AMBIENCE_3D_MOD,,,,,,,,,,,100,100,300,1000,,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_soul_spawn,,loaded,zmb\level\zm_zod\swordquest\soul_release\evt_soul_release_02.wav,,,AMB_AMBIENCE_3D_MOD,,,,,,,,,,,100,100,300,1000,,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_soul_travel,,loaded,zmb\zmb_blops\evt\zombie_cosmodrome\soul.wav,,,AMB_AMBIENCE_3D_MOD,,,,,,,,,,,85,90,150,300,,,,,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_collector_idle,,loaded,pfx\fire\large\fire_large_01.wav,,,AMB_AMBIENCE_3D_MOD,,,,,,,,,,,100,100,750,1000,,,,,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_collector_idle_amb,,loaded,zmb\level\zm_genesis\_mob\burning_alive\amb_burning_alive.wav,,,AMB_AMBIENCE_3D_MOD,,,,,,,,,,,75,75,500,750,,,,,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_soul_enter,,loaded,zmb\zmb_blops\evt\zombie_moon\_sidequest\sq\evt_souls_flush.wav,,,AMB_AMBIENCE_3D_MOD,,,,,,,,,,,95,95,1000,1200,,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_collector_completed,,loaded,zmb\zmb_blops\evt\zombie_moon\_sidequest\sq\evt_souls_full.wav,,,AMB_AMBIENCE_3D_MOD,,,,,,,,,,,100,100,1500,2000,,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TODO: ADD SOUNDS FOR SPAWN ORB BELOW
