Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
amb_meteor_enter,,loaded,zmb\level\zm_tomb\_zhd\dist_battle\random_explosions\amb_distant_explosion_01.wav,,,EVT_EVENT_2D_MOD,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_meteor_enter,,loaded,zmb\level\zm_tomb\_zhd\dist_battle\random_explosions\amb_distant_explosion_02.wav,,,EVT_EVENT_2D_MOD,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_meteor_trail,,loaded,_reapy\hellround\meteor\evt_meteor_incoming.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,,,100,100,0,50000,65000,,,,,,,,,,,,,,,,,,,looping,,,0,,,,,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_meteor_impact,,loaded,_reapy\hellround\meteor\explo_statue_00.wav,,,EVT_EVENT_3D_MOD,,amb_meteor_impact_lfe,,,,,,,50,,100,100,0,50000,65000,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_meteor_impact_lfe,,loaded,evt\cp_ramses\statue_fall\explo_statue_lfe_00.wav,,,EVT_EVENT_LFE_3D_MOD,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_meteor_debris,,loaded,zmb\level\zm_temple\meteor_impact\evt_meteor_impact_debris.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,100,100,0,350,500,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,random_direction,2000,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_meteor_rain,,loaded,amb\weather\rain\_on_stuff\on_fire\rain_on_fire.wav,,,AMB_AMBIENCE_3D_MOD,,,,,,,,,,,100,100,0,400,500,,,,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_meteor_siren,,loaded,_reapy\hellround\meteor\emergency_siren.wav,,,EVT_EVENT_2D_MOD,,,,,,,,,,,75,75,,,,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# EVT SHAKE SOUNDS
# Fence
meteor_shake_fence,,loaded,amb\material_movement\rattles\metal\shake\shake_metal_00.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,60,90,0,300,500,,,,,,,,,-100,100,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_shake_fence,,loaded,amb\material_movement\rattles\metal\corrugated\corrugated_metal_01.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,60,90,0,300,500,,,,,,,,,-100,100,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_shake_fence,,loaded,amb\material_movement\rattles\metal\corrugated\corrugated_metal_02.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,60,90,0,300,500,,,,,,,,,-100,100,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_shake_fence,,loaded,amb\material_movement\rattles\metal\chainlink_wind\chainlink_wind_03.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,60,90,0,300,500,,,,,,,,,-100,100,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_shake_fence,,loaded,amb\material_movement\rattles\metal\chainlink_wind\chainlink_wind_05.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,60,90,0,300,500,,,,,,,,,-100,100,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Glass
meteor_shake_glass,,loaded,amb\material_movement\shake\glass\glasses\glasses_shake_00.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,100,100,0,500,500,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_shake_glass,,loaded,amb\material_movement\shake\glass\glasses\glasses_shake_01.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,100,100,0,500,500,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_shake_glass,,loaded,amb\material_movement\shake\glass\glasses\glasses_shake_02.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,100,100,0,500,500,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_shake_glass,,loaded,amb\material_movement\shake\glass\glasses\glasses_shake_03.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,100,100,0,500,500,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_shake_glass,,loaded,amb\material_movement\shake\glass\glasses\glasses_shake_04.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,100,100,0,500,500,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_shake_glass,,loaded,amb\material_movement\shake\glass\glasses\glasses_shake_05.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,100,100,0,500,500,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stuff
meteor_shake_stuff,,loaded,amb\material_movement\rattles\junk\shake_stuff_00.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,100,100,0,400,1000,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_shake_stuff,,loaded,amb\material_movement\rattles\junk\shake_stuff_01.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,100,100,0,400,1000,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_shake_stuff,,loaded,amb\material_movement\rattles\junk\shake_stuff_02.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,100,100,0,400,1000,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_shake_stuff,,loaded,amb\material_movement\rattles\junk\shake_stuff_03.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,100,100,0,400,1000,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_shake_stuff,,loaded,amb\material_movement\rattles\junk\shake_stuff_04.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,100,100,0,400,1000,,,,,,,,,,,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Interior
meteor_shake_interior,,loaded,zmb\zmb_blops_2\amb\environment\debris\room\interior_shake.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,70,85,1500,2000,2500,,,,,,,,,-100,100,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_shake_interior,,loaded,zmb\zmb_blops_2\amb\environment\debris\room\interior_shake_01.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,70,85,1500,2000,2500,,,,,,,,,-100,100,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_shake_interior,,loaded,zmb\zmb_blops_2\amb\environment\debris\room\interior_shake_02.wav,,,EVT_EVENT_3D_MOD,,,,,,,,,50,,70,85,1500,2000,2500,,,,,,,,,-100,100,,,,,,,,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
