Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber,
vox_abcd_radio,,streamed,en\vox\cinematics\remaster_stories\moon\vox_rema_moon_monty_00_abcd.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog,62,70,91,91,400,1200,1250,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,24,200,80,0.35,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
vox_mcomp_breach_labs,,streamed,en\vox\scripted\zombie_moon\mcomp\vox_mcomp_breach_labs.wav,,,,,vox_mcomp_breach_labs_gpad,,,BUS_VOICE,grp_voice,snp_ambience,,52,0,81,81,500,2200,2600,allon,default,allon,default,4,priority,15,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.3,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
vox_mcomp_breach_labs_f,,streamed,en\vox\scripted\zombie_moon\mcomp\vox_mcomp_breach_labs_f.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog_2d,47,100,76,76,0,10000,10000,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0.35,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,yes,no,no,no,,,,
vox_mcomp_breach_labs_gpad,,streamed,en\vox\scripted\zombie_moon\mcomp\vox_mcomp_breach_labs.wav,,,,,,,,BUS_VOICE,grp_voice,snp_never_duck,,0,0,81,81,0,10000,10000,allon,default,allon,default,1,priority,1,oldest,0,0,80,90,0,1,no,2d,default,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,yes,yes,no,no,,,,
vox_mcomp_breach_start,,streamed,en\vox\scripted\zombie_moon\mcomp\vox_mcomp_breach_start.wav,,,,,vox_mcomp_breach_start_gpad,,,BUS_VOICE,grp_voice,snp_ambience,,52,0,81,81,500,2200,2600,allon,default,allon,default,4,priority,15,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.3,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
vox_mcomp_breach_start_f,,streamed,en\vox\scripted\zombie_moon\mcomp\vox_mcomp_breach_start_f.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog_2d,47,100,76,76,0,10000,10000,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0.35,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,yes,no,no,no,,,,
vox_mcomp_breach_start_gpad,,streamed,en\vox\scripted\zombie_moon\mcomp\vox_mcomp_breach_start.wav,,,,,,,,BUS_VOICE,grp_voice,snp_never_duck,,0,0,81,81,0,10000,10000,allon,default,allon,default,1,priority,1,oldest,0,0,80,90,0,1,no,2d,default,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,yes,yes,no,no,,,,
vox_mcomp_digger_breach_0,,streamed,en\vox\scripted\zombie_moon\mcomp\vox_mcomp_digger_breach.wav,,,,,vox_mcomp_digger_breach_0_gpad,,,BUS_VOICE,grp_voice,snp_ambience,,52,0,81,81,500,2200,2600,allon,default,allon,default,4,priority,15,oldest,0,0,80,90,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.3,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,,
vox_mcomp_digger_breach_0_f,,streamed,en\vox\scripted\zombie_moon\mcomp\vox_mcomp_digger_breach_f.wav,,,,,,,,BUS_VOICE,grp_voice,snp_voice,zmb_dialog_2d,47,100,76,76,0,10000,10000,allon,default,allon,default,1,reject,8,oldest,0,0,80,90,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0.35,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,yes,no,no,no,,,,
vox_mcomp_digger_breach_0_gpad,,streamed,en\vox\scripted\zombie_moon\mcomp\vox_mcomp_digger_breach.wav,,,,,,,,BUS_VOICE,grp_voice,snp_never_duck,,0,0,81,81,0,10000,10000,allon,default,allon,default,1,priority,1,oldest,0,0,80,90,0,1,no,2d,default,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,no,,,,,,,,,,,,,800,3000,,no,yes,no,yes,yes,no,no,,,,
