Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
zmb_rand_perk_ball_drop,,loaded,zmb\level\zm_castle\random_perk\ball_drop.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,83,83,300,1000,1500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_rand_perk_bottle,,loaded,zmb\level\zm_castle\random_perk\electricity\hit\random_perk_imp_00.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,75,75,74,500,600,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_rand_perk_bottle,,loaded,zmb\level\zm_castle\random_perk\electricity\hit\random_perk_imp_01.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,75,75,74,500,600,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_rand_perk_bottle,,loaded,zmb\level\zm_castle\random_perk\electricity\hit\random_perk_imp_02.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,75,75,74,500,600,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_rand_perk_leave,,loaded,zmb\level\zm_castle\random_perk\rand_perk_mach_leave.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,83,83,150,700,800,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_rand_perk_light_bolt,,loaded,zmb\level\zm_castle\random_perk\electricity\zap\wunderfizz_elec_zap.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,75,75,100,750,1000,allon,default,allon,default,8,priority,1,reject,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0.5,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,2000,3000,,no,no,no,no,no,no,no,,,,
zmb_rand_perk_loop,,loaded,zmb\level\zm_castle\random_perk\rand_perk_mach_loop.wav,,,,,zmb_rand_perk_vortex,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,67,67,74,500,600,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,looping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,500,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_rand_perk_sparks,,loaded,amb\electronics\arch\large\elect_arch_large_01.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,63,63,150,700,800,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,looping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,500,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_rand_perk_sparks_bot,,loaded,zmb\level\zm_castle\random_perk\electricity\random_perk_strike.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,60,60,150,700,800,allon,default,allon,default,8,priority,8,oldest,-200,350,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0.4,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_rand_perk_sparks_top,,loaded,zmb\level\zm_castle\random_perk\electricity\sparks\random_perk_sparks_00.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,60,60,150,700,800,allon,default,allon,default,8,priority,8,oldest,-200,350,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0.4,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_rand_perk_sparks_top,,loaded,zmb\level\zm_castle\random_perk\electricity\sparks\random_perk_sparks_001.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,60,60,150,700,800,allon,default,allon,default,8,priority,8,oldest,-200,350,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0.4,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_rand_perk_sparks_top,,loaded,zmb\level\zm_castle\random_perk\electricity\sparks\random_perk_sparks_002.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,60,60,150,700,800,allon,default,allon,default,8,priority,8,oldest,-200,350,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0.4,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_rand_perk_start,,loaded,zmb\level\zm_castle\random_perk\rand_perk_mach_start.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,80,80,74,500,600,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
zmb_rand_perk_stop,,loaded,zmb\level\zm_castle\random_perk\rand_perk_mach_stop.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,80,80,74,500,600,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
