Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
zmb_teleporter_igc_end,,loaded,zmb\level\zm_zod\keeper_portal\end\portal_end_0.wav,,,,,,,,bus_fx,grp_set_piece,snp_igc,,25,0,69,69,500,1500,2000,allon,default,allon,default,8,oldest,8,oldest,-200,200,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,100,200,90,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
zmb_teleporter_igc_end,,loaded,zmb\level\zm_zod\keeper_portal\end\portal_end_1.wav,,,,,,,,bus_fx,grp_set_piece,snp_igc,,25,0,69,69,500,1500,2000,allon,default,allon,default,8,oldest,8,oldest,-200,200,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,100,200,90,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
zmb_teleporter_igc_end,,loaded,zmb\level\zm_zod\keeper_portal\end\portal_end_2.wav,,,,,,,,bus_fx,grp_set_piece,snp_igc,,25,0,69,69,500,1500,2000,allon,default,allon,default,8,oldest,8,oldest,-200,200,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,100,200,90,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
zmb_teleporter_igc_lp,,loaded,zmb\level\zm_zod\teleporter\on_lp.wav,,,,,,,,bus_fx,grp_ambience,snp_igc,,30,0,78,78,350,750,950,allon,default,allon,default,8,priority,8,oldest,-50,50,50,60,0,1,no,3d,default,,looping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,1000,400,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
zmb_teleporter_igc_start,,loaded,zmb\level\zm_zod\teleporter\activate.wav,,,,,,,,bus_fx,grp_set_piece,snp_igc,,25,0,62,62,500,1500,2000,allon,default,allon,default,8,oldest,8,oldest,-200,200,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,100,200,90,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
zmb_teleporter_teleport_2d,,loaded,zmb\level\zm_zod\teleporter\plr_teleport.wav,,,,,,,,bus_fx,grp_set_piece,snp_set_piece,zmb_zod_teleport,30,0,76,76,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
zmb_teleporter_teleport_in,,loaded,zmb\level\zm_zod\teleporter\teleport_in_npc.wav,,,,,,,,bus_fx,grp_set_piece,snp_scripted_moment,,40,0,69,69,400,1250,1500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,75,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
zmb_teleporter_teleport_in_igc,,loaded,zmb\level\zm_zod\teleporter\teleport_out_npc.wav,,,,,,,,bus_fx,grp_set_piece,snp_igc,,40,0,66,66,400,1250,1500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,75,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
zmb_teleporter_teleport_out,,loaded,zmb\level\zm_zod\teleporter\teleport_out_npc.wav,,,,,,,,bus_fx,grp_set_piece,snp_scripted_moment,,40,0,69,69,400,1250,1500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,75,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
zmb_teleporter_teleport_out_igc,,loaded,zmb\level\zm_zod\teleporter\teleport_in_npc.wav,,,,,,,,bus_fx,grp_set_piece,snp_igc,,40,0,76,76,400,1250,1500,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,75,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
