Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
chr_health_laststand_enter,,streamed,zmb\health\laststand_enter.wav,,,,,,,,BUS_FX,grp_hdrfx,snp_dying,,10,0,80,80,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,95,100,0.25,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
chr_health_laststand_exit,,streamed,zmb\health\laststand_exit.wav,,,,,,,,BUS_FX,grp_hdrfx,snp_dying,,10,0,80,80,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,95,100,0.25,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
chr_health_laststand_loop,,streamed,zmb\health\laststand_lp.wav,,,,,,,,BUS_FX,grp_hdrfx,snp_dying,zmb_zhd_laststand,10,0,77,77,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,95,100,0.25,1,no,2d,quad,,looping,,1,0,0,0,0,0,no,yes,,0,,no,,,,,,,,,no,no,no,1000,1000,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
dst_spark_pop,,loaded,pfx\sparks\pop\spark_pop_00.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,50,0,69,74,150,1100,1100,allon,default,allon,default,8,priority,8,oldest,-50,50,50,60,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.1,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
dst_spark_pop,,loaded,pfx\sparks\pop\spark_pop_01.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,50,0,69,74,150,1100,1100,allon,default,allon,default,8,priority,8,oldest,-50,50,50,60,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.1,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
dst_spark_pop,,loaded,pfx\sparks\pop\spark_pop_02.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,50,0,69,74,150,1100,1100,allon,default,allon,default,8,priority,8,oldest,-50,50,50,60,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.1,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
dst_spark_thin,,loaded,pfx\sparks\thin\spark_thn_00.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,50,0,69,74,150,1100,1100,allon,default,allon,default,8,priority,8,oldest,-50,50,50,60,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.1,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
dst_spark_thin,,loaded,pfx\sparks\thin\spark_thn_01.wav,,,,,,,,BUS_FX,grp_ambience,snp_ambience,,50,0,69,74,150,1100,1100,allon,default,allon,default,8,priority,8,oldest,-50,50,50,60,0,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.1,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
evt_carpenter,,loaded,zmb\_zhd\powerups\evt_carpenter_loop_00.wav,,,,,,,,BUS_HDRFX,grp_set_piece,snp_scripted_moment,,50,0,80,80,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,2d,quad,,looping,,1,0,0,0,0,0,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
evt_carpenter_end,,loaded,zmb\_zhd\powerups\evt_carpenter_loop_end.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,50,0,77,77,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,,no,,,,,,,,,yes,no,no,0,1000,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
