Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber,

evt_island_seed_grow_stage_1,,loaded,zmb\level\zm_zod\spore\plague\grow\pod_grow_0.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,71,71,150,800,1200,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_island_seed_grow_stage_2,,loaded,zmb\level\zm_zod\spore\plague\grow\pod_grow_1.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,73,73,150,800,1200,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_island_seed_grow_stage_3,,loaded,zmb\level\zm_zod\spore\plague\grow\pod_grow_2.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,75,75,150,800,1200,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_island_seed_plant,,loaded,zmb\level\zm_island\plants\seed\plant\dig_00.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,68,68,100,800,1200,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_island_seed_water,,loaded,zmb\level\zm_island\plants\seed\water\plant_water.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,40,0,75,75,100,800,1200,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0,no,no,,0,,no,,,perspective,npc,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
evt_island_seed_water,,loaded,zmb\level\zm_island\plants\seed\water\plant_water.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,30,0,75,75,100,800,1200,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,no,2d,front,,nonlooping,,1,0,0,0,0,0,no,yes,,0,,no,,,perspective,player,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,

zmb_bsttr_claw,,loaded,zmb\level\zm_island\plants\babysitter\claw\bsttr_claw_01.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,60,0,60,63,100,1000,1100,allon,default,allon,default,8,priority,8,oldest,-150,200,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0.5,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,500,1200,,no,no,no,no,no,no,no,,,,
zmb_bsttr_claw,,loaded,zmb\level\zm_island\plants\babysitter\claw\bsttr_claw_02.wav,,,,,,,,BUS_FX,grp_set_piece,snp_scripted_moment,,60,0,60,63,100,1000,1100,allon,default,allon,default,8,priority,8,oldest,-150,200,80,100,0,0.7,no,3d,default,,nonlooping,,1,0,0,0,0,0.5,no,yes,,0,,no,,,,,,,,,no,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,500,1200,,no,no,no,no,no,no,no,,,,
