Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
# ========= Weather =========,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_fx_lightning,,LOADED,amb\weather\thunder\distant\low\thunder_low_dist_00.wav,,,AMB_AIR,,amb_thunder_roll_L,,,BUS_FX,grp_ambience,,,,,80,96,0,10000,10001,,,,,1,reject,,,,,,,,,,3d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_fx_lightning,,LOADED,amb\weather\thunder\distant\low\thunder_low_dist_01.wav,,,AMB_AIR,,amb_thunder_roll_L,,,BUS_FX,grp_ambience,,,,,80,96,0,10000,10001,,,,,1,reject,,,,,,,,,,3d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_fx_lightning,,LOADED,amb\weather\thunder\distant\low\thunder_low_dist_02.wav,,,AMB_AIR,,amb_thunder_roll_L,,,BUS_FX,grp_ambience,,,,,80,96,0,10000,10001,,,,,1,reject,,,,,,,,,,3d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_fx_lightning,,LOADED,amb\weather\thunder\distant\low\thunder_low_dist_03.wav,,,AMB_AIR,,amb_thunder_roll_L,,,BUS_FX,grp_ambience,,,,,80,96,0,10000,10001,,,,,1,reject,,,,,,,,,,3d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_fx_lightning,,LOADED,amb\weather\thunder\distant\low\thunder_low_dist_04.wav,,,AMB_AIR,,amb_thunder_roll_L,,,BUS_FX,grp_ambience,,,,,80,96,0,10000,10001,,,,,1,reject,,,,,,,,,,3d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_fx_lightning,,LOADED,amb\weather\thunder\distant\low\thunder_low_dist_05.wav,,,AMB_AIR,,amb_thunder_roll_L,,,BUS_FX,grp_ambience,,,,,80,96,0,10000,10001,,,,,1,reject,,,,,,,,,,3d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_thunder_roll_L,,LOADED,amb\weather\thunder\flux\evt_thunder_flux_l.wav,,,AMB_AIR,,amb_thunder_roll_R,,,BUS_FX,grp_ambience,,,,,80,96,0,10000,10001,,,,,1,reject,,,,,,,,,,3d,,,NONLOOPING,,,,,,,,,no,left_player,12000,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_thunder_roll_R,,LOADED,amb\weather\thunder\flux\evt_thunder_flux_r.wav,,,AMB_AIR,,amb_lightning_dist_low,,,BUS_FX,grp_ambience,,,,,85,96,0,10000,10001,,,,,1,reject,,,,,,,,,,3d,,,NONLOOPING,,,,,,,,,no,right_player,12000,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_lightning_dist_low,,LOADED,amb\weather\thunder\clap_dist_st\amb_thunder_clap_00.wav,,,AMB_AIR,,,,,BUS_FX,grp_ambience,,,,,70,90,0,10000,10001,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
